dgv_organization_id,dgv_organization_name,geop_organization_id,geop_organization_name,geoc_organization_name,geoc_organization_uuid,geoc_organization_url
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,SIG L-R,Occitanie Pyrénées en Intelligence Géomatique (OPenIG),92a8294edf8e5b90edad73d5875fc73f,http://www.geocatalogue.fr/www/dcat/92a8294edf8e5b90edad73d5875fc73f/catalog.rdf
55263369c751df702faec475,Occitanie Pyrénées en Intelligence Géomatique,55263369c751df702faec475,Ville de Montpellier,Ville de Montpellier,c93c68ba3930acd3315b0d9049f58679,http://www.geocatalogue.fr/www/dcat/c93c68ba3930acd3315b0d9049f58679/catalog.rdf
5523dff5c751df03f4aec475,PIGMA - Plateforme d'Echange de données en Nouvelle-Aquitaine,5523dff5c751df03f4aec475,Communauté Urbaine de Bordeaux,,,
5523dff5c751df03f4aec475,PIGMA - Plateforme d'Echange de données en Nouvelle-Aquitaine,5523dff5c751df03f4aec475,GIP ATGeRi,Groupement d'Intérêt Public Aménagement du Territoire et Gestion des Risques (GIP ATGeRI),ef713d742c1105fd881d3697e67c2713,http://www.geocatalogue.fr/www/dcat/ef713d742c1105fd881d3697e67c2713/catalog.rdf
5523dff5c751df03f4aec475,PIGMA - Plateforme d'Echange de données en Nouvelle-Aquitaine,5523dff5c751df03f4aec475,Mairie de Linxe,,,
551959f6c751df6682057c91,Service départemental d'incendie et de secours du Tarn,551959f6c751df6682057c91,SDIS 81,Service Départemental d'Incendie et de Secours du Tarn (SDIS 81),093de63c5754369af12054c2866f15a6,http://www.geocatalogue.fr/www/dcat/093de63c5754369af12054c2866f15a6/catalog.rdf
54f461f8c751df0f88882844,Institut français de recherche pour l'exploitation de la mer (IFREMER),54f461f8c751df0f88882844,Délégation Ifremer La Réunion,Institut Français de Recherche pour l'Exploitation de la Mer (IFREMER),fe9245be9267f60570614a784c426e3d,http://www.geocatalogue.fr/www/dcat/fe9245be9267f60570614a784c426e3d/catalog.rdf
54f461f8c751df0f88882844,Institut français de recherche pour l'exploitation de la mer (IFREMER),54f461f8c751df0f88882844,Délégation Ifremer océan Indien,Institut Français de Recherche pour l'Exploitation de la Mer (IFREMER),fe9245be9267f60570614a784c426e3d,http://www.geocatalogue.fr/www/dcat/fe9245be9267f60570614a784c426e3d/catalog.rdf
54f461f8c751df0f88882844,Institut français de recherche pour l'exploitation de la mer (IFREMER),54f461f8c751df0f88882844,IFREMER,Laboratoire Environnement Ressources de Normandie/IFREMER,60f170c406fcff8a6f1d2a3afb6323de,http://www.geocatalogue.fr/www/dcat/60f170c406fcff8a6f1d2a3afb6323de/catalog.rdf
54f461f8c751df0f88882844,Institut français de recherche pour l'exploitation de la mer (IFREMER),54f461f8c751df0f88882844,IFREMER - LEAD NC,Institut Français de Recherche pour l'Exploitation de la Mer (IFREMER),fe9245be9267f60570614a784c426e3d,http://www.geocatalogue.fr/www/dcat/fe9245be9267f60570614a784c426e3d/catalog.rdf
54f461f8c751df0f88882844,Institut français de recherche pour l'exploitation de la mer (IFREMER),54f461f8c751df0f88882844,"IFREMER, Géosciences Marines",Institut Français de Recherche pour l'Exploitation de la Mer (IFREMER),fe9245be9267f60570614a784c426e3d,http://www.geocatalogue.fr/www/dcat/fe9245be9267f60570614a784c426e3d/catalog.rdf
54f461f8c751df0f88882844,Institut français de recherche pour l'exploitation de la mer (IFREMER),54f461f8c751df0f88882844,IFREMERIFREMER,Institut Français de Recherche pour l'Exploitation de la Mer (IFREMER),fe9245be9267f60570614a784c426e3d,http://www.geocatalogue.fr/www/dcat/fe9245be9267f60570614a784c426e3d/catalog.rdf
54f461f8c751df0f88882844,Institut français de recherche pour l'exploitation de la mer (IFREMER),54f461f8c751df0f88882844,IUEM,Institut Universitaire Européen de la Mer (IUEM),a75904e5b42b0ef33f729090f44c72fd,http://www.geocatalogue.fr/www/dcat/a75904e5b42b0ef33f729090f44c72fd/catalog.rdf
