dgv_organization_id,dgv_organization_name,dgv_nb_datasets,geop_organization_id,geop_organization_name,geoc_organization_name,geoc_organization_uuid,geoc_organization_url
6155a9c1bc94e6592075950c,HFOOD VILLENAVE - HIPPOPOTAMUS,1.0,,,,,
6155a0cfcdc64b4a0c792d63,SGAR Auvergne-Rhône-Alpes,1.0,,,,,
6155847f59bf2f5d3c01a1cd,Mairie de Céré la Ronde,0.0,,,,,
615575232c995391c83401d5,Aéroports de Paris SA,1.0,,,,,
6155661a39fcf38140fe4850,"Centre d'Epidémiologie et de Recherche en sante des Populations  UMR1295 (CERPOP) ; Institut Universitaire du Cancer de Toulouse - Oncopole (IUCT-O), Groupe de recherche et d'analyse en santé des populations (GAP) ",1.0,,,,,
6154b9d3f7bfc45fd9e920a3,SAS DURAND ETASSE,1.0,,,,,
61546fd3dc9dd3c1e2d0dc1e,Ville de Reims,1.0,,,,,
61546f87c5415fb3dbfa591d,Ville de Reims,0.0,,,,,
615436e225f5f595ec11dc25,AIRBUS SAS BLAGNAC,1.0,,,,,
61543366f4af08cc4594afec,AIRBUS OPERATIONS SAS TOULOUSE,1.0,,,,,
61534146109f50ed98713f7c,Urban Retrofit Business Services,0.0,,,,,
6152f6c7a4985da8d65c3e39,Service à compétence Nationale des SI mutualisés des ARS - Direction du Numérique des Ministères sociaux,1.0,,,,,
6152c2bbcd95168891479089,DEM Net Elevation API,0.0,,,,,
6151b5dce189bd72c3a80805,Fabien Delannoy,0.0,,,,,
615053477d8f7063a7e47bd6,Chargepoly,1.0,,,,,
614f2dd8cd0572294dc3e830,La Villa HOH,0.0,,,,,
614cfc727010443d2c1ff58c,Je te vois,0.0,,,,,
614c9164640c4f10320c053a,ENERGIE Eure-et-Loir,1.0,,,,,
614c907a798a38a849ec9e83,Syndicat Intercommunal d'Assainissement du Ruisseau de Vaulx,1.0,,,,,
614b3c3f23266628bb102c6e,See You Sun,1.0,,,,,
614afd087d33278e7b2ca289,Macaron,0.0,,,,,
